Time,Deal,Order,Position,Symbol,Type,Volume,Price,S / L,T / P,Commission,Swap,Profit,Comment
2026-08-03 08:00:00,900001,0,0,,balance,0,0,0,0,0,0,10000.00,Initial deposit
2026-08-03 09:00:00,500001,400001,1001,XAUUSD,buy,0.10,3342.10,3335.10,3356.10,-0.50,0,0,Entry
2026-08-03 09:25:00,500002,400002,1001,XAUUSD,sell,0.10,3350.60,0,0,-0.50,0,85.00,Exit TP
2026-08-03 09:32:00,500003,400003,1002,XAUUSD,buy,0.10,3351.20,3345.20,3363.20,-0.50,0,0,Entry
2026-08-03 09:50:00,500004,400004,1002,XAUUSD,sell,0.10,3345.20,0,0,-0.50,0,-60.00,Exit SL
2026-08-03 09:58:00,500005,400005,1003,XAUUSD,buy,0.20,3346.00,3339.00,3360.00,-1.00,0,0,Entry after loss
2026-08-03 10:15:00,500006,400006,1003,XAUUSD,sell,0.20,3340.50,0,0,-1.00,0,-110.00,Exit loss
2026-08-03 10:22:00,500007,400007,1004,XAUUSD,sell,0.30,3340.00,3348.00,3325.00,-1.50,0,0,Entry after loss
2026-08-03 10:40:00,500008,400008,1004,XAUUSD,buy,0.30,3344.83,0,0,-1.50,0,-145.00,Exit loss
2026-08-03 10:47:00,500009,400009,1005,XAUUSD,sell,0.50,3344.50,0,3329.50,-2.50,0,0,Entry no SL
2026-08-03 11:05:00,500010,400010,1005,XAUUSD,buy,0.50,3348.90,0,0,-2.50,0,-220.00,Exit loss
2026-08-03 11:12:00,500011,400011,1006,XAUUSD,buy,0.80,3349.10,0,3363.10,-4.00,0,0,Entry no SL
2026-08-03 11:30:00,500012,400012,1006,XAUUSD,sell,0.80,3345.23,0,0,-4.00,0,-310.00,Exit loss
2026-08-03 11:37:00,500013,400013,1007,XAUUSD,buy,1.20,3345.50,3338.50,3359.50,-6.00,0,0,Entry increased lot
2026-08-03 11:55:00,500014,400014,1007,XAUUSD,sell,1.20,3347.67,0,0,-6.00,0,260.00,Exit profit
2026-08-03 12:05:00,500015,400015,1008,EURUSD,sell,0.30,1.17820,1.18120,1.17220,-1.20,0,0,Entry
2026-08-03 12:22:00,500016,400016,1008,EURUSD,buy,0.30,1.17503,0,0,-1.20,0,95.00,Exit profit
2026-08-03 12:30:00,500017,400017,1009,GBPUSD,buy,0.20,1.35100,0,1.35800,-0.90,0,0,Entry no SL
2026-08-03 12:48:00,500018,400018,1009,GBPUSD,sell,0.20,1.34725,0,0,-0.90,0,-75.00,Exit loss
2026-08-03 12:55:00,500019,400019,1010,GBPUSD,sell,0.40,1.34700,1.35200,1.34000,-1.80,0,0,Entry increased lot
2026-08-03 13:14:00,500020,400020,1010,GBPUSD,buy,0.40,1.34350,0,0,-1.80,0,140.00,Exit profit
2026-08-03 13:20:00,500021,400021,1011,USDJPY,buy,0.20,147.200,0,147.900,-0.80,-0.20,0,Entry no SL
2026-08-03 13:38:00,500022,400022,1011,USDJPY,sell,0.20,146.925,0,0,-0.80,-0.20,-55.00,Exit loss
2026-08-03 13:45:00,500023,400023,1012,USDJPY,sell,0.40,146.900,147.400,146.100,-1.60,-0.30,0,Entry increased lot
2026-08-03 14:03:00,500024,400024,1012,USDJPY,buy,0.40,147.200,0,0,-1.60,-0.30,-120.00,Exit loss
2026-08-04 09:10:00,500025,400025,1013,EURUSD,buy,0.20,1.17600,1.17200,1.18400,-0.80,0,0,Entry
2026-08-04 09:45:00,500026,400026,1013,EURUSD,sell,0.20,1.18050,0,0,-0.80,0,90.00,Exit profit
2026-08-04 10:05:00,500027,400027,1014,EURUSD,sell,0.20,1.18100,1.18500,1.17300,-0.80,0,0,Entry
2026-08-04 10:32:00,500028,400028,1014,EURUSD,buy,0.20,1.17775,0,0,-0.80,0,65.00,Exit profit
2026-08-04 11:00:00,500029,400029,1015,GBPUSD,buy,0.30,1.35000,0,1.35900,-1.20,0,0,Entry no SL
2026-08-04 11:25:00,500030,400030,1015,GBPUSD,sell,0.30,1.34733,0,0,-1.20,0,-80.00,Exit loss
2026-08-04 11:32:00,500031,400031,1016,GBPUSD,buy,0.50,1.34750,0,1.35600,-2.00,0,0,Entry increased lot
2026-08-04 11:58:00,500032,400032,1016,GBPUSD,sell,0.50,1.34450,0,0,-2.00,0,-150.00,Exit loss
2026-08-04 12:15:00,500033,400033,1017,USDJPY,sell,0.30,147.100,147.600,146.200,-1.20,-0.30,0,Entry
2026-08-04 12:50:00,500034,400034,1017,USDJPY,buy,0.30,146.717,0,0,-1.20,-0.30,115.00,Exit profit
2026-08-04 13:20:00,500035,400035,1018,XAUUSD,buy,0.40,3352.00,3346.00,3364.00,-2.00,0,0,Entry
2026-08-04 13:48:00,500036,400036,1018,XAUUSD,sell,0.40,3349.63,0,0,-2.00,0,-95.00,Exit loss
